cliente,data_venda,genero,produto,preco,quantidade,total,tempo_entrega,cidade
João silva,2023-03-03,Masculino,Monitor,3500.0,1,278,,São paulo
João silva,2024-08-22,,Notebook,120.0,2,240,0:01:01,São paulo
Carlos lima,2024-09-25,,Monitor,1200.0,2,2400,0:00:49,Rio de janeiro
Ana clara,2023-12-17,,Notebook,1200.0,1,800,,Curitiba
Maria souza,2024-04-17,,Cadeira,800.0,0,120,,Curitiba
Maria souza,2023-10-16,Masculino,Monitor,1200.0,0,,,Belo horizonte
Maria souza,0023-05-20,Masculino,Cadeira,3500.0,1,240,,Porto alegre
Maria souza,2024-05-18,,Monitor,50.0,2,,0:01:12,Belo horizonte
João silva,2024-12-10,,Monitor,120.0,2,2400,0:00:00,São paulo
Maria souza,2024-02-23,,Cadeira,120.0,1,120,,Belo horizonte
Maria souza,0024-07-21,,Cadeira,1200.0,1,10542,,Rio de janeiro
Maria souza,2024-12-26,,Mouse,50.0,3,354,00:26:07,Porto alegre
Maria souza,2023-04-25,,Mouse,3500.0,0,,,Rio de janeiro
Carlos lima,2024-08-02,Masculino,Cadeira,3500.0,2,14,0:03:43,Curitiba
Carlos lima,2024-10-05,,Notebook,3500.0,1,7000,,Belo horizonte
Ana clara,0023-05-15,,Notebook,3500.0,2,,0:02:43,São paulo
Ana clara,2023-07-07,Masculino,Cadeira,800.0,1,240,,Belo horizonte
Ana clara,2023-02-27,,Mouse,3500.0,3,1600,02:21:26,São paulo
Ana clara,2024-07-03,Masculino,Cadeira,50.0,0,360,,Porto alegre
Maria souza,2024-07-10,,Monitor,120.0,3,281,01:32:01,São paulo
Ana clara,2024-03-27,,Teclado,50.0,3,1152,00:31:14,São paulo
Carlos lima,2024-10-13,,Notebook,3500.0,3,3600,02:40:14,Rio de janeiro
Ana clara,2024-06-19,Masculino,Notebook,1200.0,1,74,,Porto alegre
Maria souza,2024-05-09,,Notebook,120.0,2,150,0:00:13,São paulo
Maria souza,2024-12-05,Masculino,Monitor,1200.0,1,2400,,Curitiba
Ana clara,0024-04-01,,Cadeira,50.0,2,120,0:02:08,São paulo
Pedro alves,2023-08-06,Masculino,Teclado,1200.0,0,800,,Curitiba
Ana clara,2024-05-26,,Mouse,50.0,0,2400,,São paulo
Carlos lima,0024-09-26,,Mouse,3500.0,2,,0:01:34,Curitiba
João silva,2023-11-24,Masculino,Mouse,50.0,0,,,Rio de janeiro
João silva,2024-11-10,,Mouse,120.0,3,150,02:32:40,Curitiba
Pedro alves,2023-03-10,,Monitor,120.0,3,120,01:46:51,São paulo
Pedro alves,2024-05-24,Masculino,Mouse,3500.0,2,10500,0:00:49,Belo horizonte
Ana clara,2023-03-04,,Notebook,120.0,2,100,0:02:41,São paulo
João silva,2024-04-14,,Cadeira,3500.0,3,360,00:26:05,Curitiba
Maria souza,2024-11-13,Masculino,Mouse,50.0,1,800,,São paulo
Maria souza,2023-03-16,,Notebook,50.0,3,240,02:34:17,São paulo
Carlos lima,2024-03-06,Masculino,Mouse,50.0,3,800,01:53:35,São paulo
Maria souza,0023-04-20,Masculino,Notebook,1200.0,0,,,Porto alegre
João silva,0023-02-02,,Teclado,1200.0,0,3500,,Curitiba
João silva,0023-03-27,,Monitor,120.0,0,10500,,Curitiba
Carlos lima,0024-04-14,Masculino,Monitor,120.0,0,795,,Porto alegre
Carlos lima,2024-05-28,,Monitor,800.0,0,50,,Belo horizonte
Ana clara,2023-07-14,,Notebook,1200.0,3,120,01:38:24,Curitiba
Ana clara,2024-09-22,,Monitor,800.0,1,150,,Curitiba
Pedro alves,2024-04-04,Masculino,Mouse,1200.0,3,,00:43:32,São paulo
Pedro alves,0024-08-23,Masculino,Cadeira,50.0,0,2400,,Rio de janeiro
Pedro alves,0023-08-18,Masculino,Monitor,3500.0,1,1600,,Curitiba
Ana clara,2024-10-06,,Monitor,1200.0,2,,0:03:45,Porto alegre
Ana clara,2023-06-19,,Notebook,120.0,2,186,0:01:31,Porto alegre
Pedro alves,2023-11-16,Masculino,Teclado,800.0,3,3500,00:52:14,Rio de janeiro
Carlos lima,2023-07-26,,Monitor,800.0,1,,,Curitiba
Carlos lima,2024-09-22,Masculino,Notebook,1200.0,2,2426,0:03:17,Curitiba
João silva,2023-06-19,,Mouse,120.0,2,6955,0:02:54,Belo horizonte
Maria souza,2023-06-13,Masculino,Cadeira,3500.0,2,7000,0:01:01,Porto alegre
Maria souza,2024-05-16,Masculino,Monitor,120.0,0,100,,Porto alegre
Maria souza,0024-05-25,Masculino,Notebook,50.0,3,120,00:38:02,Curitiba
Ana clara,0023-12-12,Masculino,Cadeira,50.0,3,120,02:11:30,Rio de janeiro
Ana clara,2023-05-13,Masculino,Notebook,1200.0,1,171,,Belo horizonte
Ana clara,2024-06-07,Masculino,Mouse,3500.0,1,3600,,São paulo
Pedro alves,0023-05-26,Masculino,Notebook,120.0,0,800,,São paulo
Pedro alves,0024-04-19,,Notebook,3500.0,1,2400,,Belo horizonte
Pedro alves,0023-11-14,Masculino,Notebook,3500.0,2,,0:02:03,Belo horizonte
Pedro alves,0024-12-10,Masculino,Mouse,50.0,3,150,02:46:35,Rio de janeiro
Ana clara,2023-02-26,Masculino,Monitor,3500.0,0,3500,,São paulo
Ana clara,2024-09-20,,Teclado,50.0,3,3500,01:42:32,Curitiba
João silva,2024-03-03,Masculino,Notebook,50.0,3,50,01:38:15,Rio de janeiro
Maria souza,0023-06-18,Masculino,Mouse,120.0,0,120,,Belo horizonte
Ana clara,2024-03-10,,Cadeira,1200.0,0,3600,,Curitiba
Carlos lima,2024-02-03,Masculino,Notebook,800.0,1,,,Curitiba
Carlos lima,2024-04-05,,Cadeira,800.0,3,50,00:39:02,Curitiba
João silva,2023-07-19,Masculino,Mouse,50.0,3,,00:01:44,São paulo
Carlos lima,2023-11-27,Masculino,Mouse,120.0,1,800,,São paulo
João silva,2023-01-03,,Teclado,120.0,2,240,0:03:22,Belo horizonte
João silva,2023-10-13,,Cadeira,3500.0,2,150,0:03:48,São paulo
Carlos lima,2023-02-21,,Notebook,800.0,2,150,0:02:00,Porto alegre
Carlos lima,0023-09-14,,Mouse,1200.0,0,3600,,São paulo
Carlos lima,2024-08-09,Masculino,Cadeira,800.0,1,800,,Belo horizonte
Carlos lima,2023-11-09,,Cadeira,120.0,0,100,,Curitiba
João silva,2023-09-03,Masculino,Teclado,50.0,2,,0:01:01,São paulo
Ana clara,2024-12-02,,Monitor,3500.0,0,100,,Rio de janeiro
Carlos lima,0024-05-11,Masculino,Mouse,1200.0,2,,0:01:34,São paulo
Maria souza,0023-04-23,,Mouse,120.0,3,,02:25:14,Porto alegre
Maria souza,2023-12-01,,Notebook,3500.0,2,120,0:00:08,Belo horizonte
Ana clara,2024-06-01,Masculino,Notebook,50.0,0,2400,,Rio de janeiro
Ana clara,2024-06-15,Masculino,Cadeira,1200.0,3,7000,00:52:52,Rio de janeiro
Ana clara,0024-09-24,Masculino,Notebook,800.0,3,3634,00:38:23,São paulo
João silva,0024-04-17,,Cadeira,1200.0,2,800,0:03:34,São paulo
Carlos lima,2023-05-25,Masculino,Teclado,50.0,2,,0:01:49,São paulo
Ana clara,2023-10-22,,Notebook,800.0,1,,,Porto alegre
Ana clara,0023-06-28,,Monitor,3500.0,3,2400,01:52:06,Rio de janeiro
João silva,0023-09-12,Masculino,Mouse,120.0,0,,,Curitiba
João silva,2024-12-06,Masculino,Teclado,3500.0,2,3578,0:02:21,Belo horizonte
Maria souza,2023-03-27,,Monitor,3500.0,0,84,,Porto alegre
Maria souza,2023-11-22,,Teclado,3500.0,3,1600,02:46:40,São paulo
João silva,2023-07-27,Masculino,Teclado,1200.0,3,,02:50:16,São paulo
Pedro alves,2023-04-25,,Notebook,1200.0,2,1200,0:01:16,Rio de janeiro
Ana clara,2024-09-24,,Cadeira,1200.0,2,3500,0:01:03,São paulo
João silva,2024-09-27,Masculino,Cadeira,3500.0,2,1575,0:03:48,Rio de janeiro
Maria souza,0023-05-24,Masculino,Notebook,1200.0,3,360,00:41:30,Rio de janeiro
Pedro alves,2024-06-09,Masculino,Teclado,3500.0,3,10500,01:51:11,Porto alegre
Pedro alves,2023-07-01,Masculino,Cadeira,800.0,0,2400,,São paulo
Carlos lima,2024-12-26,Masculino,Notebook,800.0,3,100,00:32:06,Rio de janeiro
Carlos lima,2023-03-25,,Mouse,50.0,2,3650,0:02:02,São paulo
Carlos lima,2023-01-07,Masculino,Notebook,800.0,0,1612,,Curitiba
Ana clara,2023-09-09,,Mouse,1200.0,3,2443,01:35:59,Porto alegre
João silva,2023-01-10,,Notebook,800.0,3,100,01:07:37,São paulo
Carlos lima,0024-06-24,,Notebook,3500.0,1,240,,Curitiba
João silva,2024-09-03,,Monitor,800.0,3,,01:32:56,Curitiba
Ana clara,2023-07-23,Masculino,Mouse,120.0,3,,01:35:30,Rio de janeiro
Ana clara,2023-09-01,Masculino,Monitor,50.0,1,10500,,Belo horizonte
Ana clara,2023-06-08,,Monitor,120.0,2,3500,0:00:41,Rio de janeiro
Pedro alves,0023-04-03,Masculino,Mouse,120.0,3,240,00:39:32,Porto alegre
Ana clara,0024-07-18,,Notebook,120.0,0,50,,Rio de janeiro
Pedro alves,2023-11-04,Masculino,Teclado,120.0,2,1193,0:00:42,São paulo
Carlos lima,2024-03-13,,Mouse,50.0,2,,0:01:06,Porto alegre
João silva,2024-10-04,Masculino,Notebook,3500.0,1,,,Belo horizonte
João silva,0023-01-19,,Mouse,800.0,0,2400,,Belo horizonte
Pedro alves,2023-01-17,Masculino,Cadeira,1200.0,0,360,,São paulo
Pedro alves,2024-01-03,,Mouse,120.0,2,,0:01:03,Curitiba
Pedro alves,2024-04-11,Masculino,Teclado,3500.0,2,6991,0:03:41,Porto alegre
João silva,2024-05-02,,Mouse,1200.0,3,50,01:03:25,Rio de janeiro
João silva,2023-04-08,,Cadeira,3500.0,3,10500,01:05:56,Rio de janeiro
Carlos lima,2023-03-11,,Teclado,3500.0,1,2400,,Curitiba
Carlos lima,2023-04-11,,Notebook,3500.0,3,360,02:42:52,São paulo
João silva,2024-12-13,,Mouse,3500.0,1,360,,Belo horizonte
Pedro alves,2023-01-26,,Mouse,120.0,0,800,,Porto alegre
Pedro alves,0024-12-16,,Monitor,800.0,3,100,02:11:21,Rio de janeiro
Maria souza,2023-10-07,,Notebook,800.0,2,150,0:02:55,Belo horizonte
Pedro alves,2024-05-21,,Cadeira,1200.0,1,6972,,Porto alegre
Pedro alves,2024-03-07,Masculino,Mouse,120.0,3,100,01:44:38,Rio de janeiro
Maria souza,2023-07-14,,Notebook,800.0,0,10500,,São paulo
Pedro alves,2023-05-05,,Teclado,50.0,1,,,Belo horizonte
João silva,0023-09-01,,Monitor,3500.0,3,,01:45:46,Curitiba
João silva,2024-05-12,Masculino,Monitor,800.0,2,360,0:02:52,Porto alegre
Ana clara,2023-05-19,,Mouse,3500.0,1,783,,Belo horizonte
Maria souza,0023-03-20,,Notebook,50.0,3,3500,01:02:04,Curitiba
Ana clara,2023-02-06,Masculino,Cadeira,3500.0,2,2400,0:03:57,Rio de janeiro
João silva,0023-02-12,,Cadeira,3500.0,0,,,Curitiba
Ana clara,2024-11-05,,Teclado,50.0,3,,01:46:04,São paulo
Pedro alves,2023-03-24,Masculino,Teclado,50.0,3,150,02:26:45,Porto alegre
Pedro alves,0024-10-20,,Cadeira,3500.0,3,1200,02:53:09,Belo horizonte
João silva,2023-07-17,,Teclado,3500.0,2,2400,0:01:02,Belo horizonte
Maria souza,2024-05-17,,Teclado,1200.0,3,,00:56:30,São paulo
Ana clara,2023-08-04,Masculino,Mouse,120.0,2,150,0:01:11,Belo horizonte
Pedro alves,0024-12-04,,Cadeira,3500.0,3,,01:24:43,Rio de janeiro
João silva,2023-11-07,,Monitor,800.0,1,2400,,Porto alegre
Maria souza,0023-03-20,Masculino,Teclado,3500.0,1,100,,Porto alegre
Maria souza,2023-09-25,,Teclado,120.0,3,,00:25:10,Rio de janeiro
Maria souza,2023-12-24,,Monitor,800.0,1,,,Porto alegre
Carlos lima,2023-01-13,Masculino,Teclado,800.0,1,1200,,São paulo
Carlos lima,0023-04-14,Masculino,Mouse,800.0,1,3500,,Belo horizonte
Ana clara,2024-08-22,Masculino,Cadeira,3500.0,3,1200,02:46:56,Curitiba
João silva,2023-05-09,Masculino,Mouse,120.0,1,2400,,Belo horizonte
João silva,2024-10-15,Masculino,Monitor,800.0,0,150,,Curitiba
Maria souza,2024-05-13,,Mouse,120.0,3,10500,00:18:58,Rio de janeiro
Ana clara,2024-01-04,Masculino,Monitor,3500.0,0,7039,,Porto alegre
João silva,2023-05-26,,Cadeira,3500.0,1,2400,,Curitiba
Ana clara,0023-08-26,,Notebook,120.0,0,360,,São paulo
Carlos lima,0023-07-05,Masculino,Teclado,120.0,2,240,0:00:14,Curitiba
João silva,2024-04-03,,Cadeira,1200.0,3,800,02:19:39,Curitiba
João silva,2024-04-18,Masculino,Teclado,1200.0,2,50,0:00:47,Rio de janeiro
João silva,0023-02-27,Masculino,Notebook,800.0,0,150,,São paulo
Ana clara,2024-03-15,Masculino,Monitor,50.0,3,,02:34:59,Curitiba
Carlos lima,0024-12-15,,Teclado,800.0,1,3500,,Porto alegre
João silva,0023-01-13,,Monitor,800.0,3,800,01:55:42,Curitiba
João silva,2024-11-23,,Monitor,3500.0,0,,,Rio de janeiro
Carlos lima,2024-11-12,Masculino,Notebook,3500.0,1,1600,,Curitiba
Carlos lima,2023-04-01,,Monitor,800.0,1,3500,,Rio de janeiro
João silva,2023-03-22,Masculino,Cadeira,3500.0,0,3600,,Curitiba
Maria souza,2024-09-17,Masculino,Notebook,1200.0,2,50,0:03:39,São paulo
Maria souza,2023-11-25,,Teclado,120.0,0,,,Porto alegre
Pedro alves,2024-07-21,,Mouse,800.0,0,,,Rio de janeiro
Carlos lima,2023-12-08,Masculino,Teclado,50.0,0,,,Belo horizonte
Carlos lima,2024-03-21,Masculino,Mouse,800.0,1,1200,,Curitiba
Maria souza,0024-11-23,Masculino,Notebook,1200.0,2,2368,0:02:24,Belo horizonte
Maria souza,2023-10-11,,Monitor,3500.0,0,,,Belo horizonte
Maria souza,2023-06-22,,Mouse,50.0,0,1235,,São paulo
Maria souza,2023-02-27,,Notebook,50.0,3,,02:41:01,São paulo
Ana clara,0023-01-28,,Monitor,1200.0,0,2400,,Belo horizonte
Carlos lima,0023-02-22,Masculino,Monitor,50.0,1,197,,Curitiba
Maria souza,2024-04-28,Masculino,Cadeira,1200.0,1,50,,Curitiba
Maria souza,2023-12-23,Masculino,Cadeira,1200.0,2,120,0:01:11,Rio de janeiro
Ana clara,2023-10-11,,Notebook,800.0,1,1200,,São paulo
Ana clara,2023-06-18,Masculino,Teclado,800.0,3,3600,02:35:01,Belo horizonte
João silva,2024-08-19,,Teclado,1200.0,2,120,0:02:34,Belo horizonte
Pedro alves,2023-09-07,,Monitor,1200.0,2,,0:00:42,Porto alegre
Pedro alves,0023-08-13,,Monitor,50.0,1,100,,São paulo
Pedro alves,2023-12-06,Masculino,Mouse,3500.0,1,,,Rio de janeiro
Maria souza,2023-04-12,,Teclado,800.0,0,7000,,Rio de janeiro
Maria souza,2024-11-17,Masculino,Cadeira,1200.0,0,,,Belo horizonte
Pedro alves,2024-05-02,,Teclado,50.0,0,240,,Rio de janeiro
João silva,2024-01-01,,Notebook,800.0,0,7000,,Belo horizonte
Pedro alves,2023-08-17,,Notebook,800.0,0,,,Belo horizonte
Maria souza,0024-06-13,Masculino,Teclado,3500.0,2,50,0:01:51,Rio de janeiro
Carlos lima,2023-05-17,Masculino,Teclado,50.0,0,360,,Curitiba
Ana clara,2023-10-02,Masculino,Cadeira,50.0,3,2400,00:30:52,Porto alegre
Maria souza,2023-11-21,Masculino,Teclado,3500.0,1,1248,,Rio de janeiro
João silva,2023-03-28,,Monitor,800.0,3,,01:43:18,Curitiba
João silva,2024-09-23,,Notebook,50.0,1,2400,,São paulo
Pedro alves,2024-07-23,Masculino,Teclado,120.0,2,,0:02:24,São paulo
Ana clara,2023-04-02,,Cadeira,120.0,2,100,0:03:52,Rio de janeiro
Ana clara,2023-01-08,,Notebook,1200.0,3,1600,01:04:53,Curitiba
Ana clara,2024-12-25,Masculino,Cadeira,3500.0,2,3500,0:01:12,Rio de janeiro
Ana clara,0024-08-08,Masculino,Cadeira,800.0,2,50,0:00:33,São paulo
Ana clara,0023-06-21,Masculino,Teclado,50.0,0,7000,,São paulo
Maria souza,0024-05-16,,Teclado,1200.0,3,248,01:21:10,Porto alegre
Pedro alves,0023-08-09,Masculino,Cadeira,800.0,1,150,,Porto alegre
Maria souza,0023-06-17,,Monitor,1200.0,0,2400,,Belo horizonte
Pedro alves,2024-11-19,Masculino,Monitor,50.0,2,,0:02:49,São paulo
Pedro alves,2024-10-07,,Mouse,800.0,0,2400,,Belo horizonte
