id_venda,data_venda,cliente,genero,produto,preco,quantidade,total,tempo_entrega,cidade
99,01-05-2023, Pedro Alves ,m,Teclado,"R$ 3.500,00",1,50,3h 44m,Belo Horizonte
100,2024/10/13,Maria Souza,m,Monitor,1200,2,240,3h 20m,Rio de Janeiro
101,02/04/23,Maria Souza,m,Teclado,R$800,2,2449,71m,Porto Alegre
102,2024-09-02, Pedro Alves ,m,Notebook,R$1200,1,,31m,Porto Alegre
103,2024/03/06,Ana Clara,f,Monitor,1200,3,2418,0:15:12,Curitiba
104,19-06-2023,Carlos Lima,f,Monitor,R$120,2,,3h 57m,Curitiba
105,22/03/24,Carlos Lima,M,Mouse,"R$ 120,00",2,,39m,Rio de Janeiro
106,2024-11-05, João Silva ,M,Monitor,3500,2,100,,Rio de Janeiro
107,2024/12/08,Ana Clara,F,Monitor,"R$ 800,00",1,120,2:12:12,Rio de Janeiro
108,07-07-2024,Maria Souza,m,Teclado,R$120,1,,1:28:20,Curitiba
109,2024/10/10,Carlos Lima,f,Teclado,R$50,1,,162m,Curitiba
110,01/10/24,Ana Clara,Masculino,Cadeira,800,1,,2h 9m,São Paulo
111,2023-04-21,,M,Cadeira,50,2,100,,Rio de Janeiro
112,24/09/23, João Silva ,,Teclado,"R$ 120,00",1,750,53m,São Paulo
113,16/04/24, Pedro Alves ,M,Monitor,"R$ 50,00",3,360,0:22:50,Belo Horizonte
114,2024-12-10,,MASCULINO,Cadeira,3500,2,1600,,Belo Horizonte
115,17-05-2023, Pedro Alves ,MASCULINO,Mouse,1200,3,150,,Curitiba
116,2024-09-26,Maria Souza,MASCULINO,Cadeira,"R$ 50,00",3,10500,2:48:17,Porto Alegre
117,24/06/23,Maria Souza,Masculino,Cadeira,R$3500,2,7000,95m,Curitiba
118,28-01-2024,Maria Souza,F,Monitor,R$120,2,1600,40m,São Paulo
119,07-06-2023,,MASCULINO,Monitor,"R$ 50,00",3,150,,Belo Horizonte
120,21-04-2023,,M,Teclado,R$120,1,50,,Porto Alegre
121,2024-11-04,Ana Clara,Masculino,Cadeira,"R$ 3.500,00",2,1600,0h 44m,Porto Alegre
122,2024/03/21, João Silva ,m,Notebook,"R$ 120,00",3,10469,,Rio de Janeiro
123,2024-12-21,Carlos Lima,MASCULINO,Notebook,"R$ 120,00",2,,2:42:09,São Paulo
124,2024-12-23, Pedro Alves ,M,Monitor,120,2,271,3h 16m,São Paulo
125,08/11/24, Pedro Alves ,Feminino,Teclado,800,2,2400,,Curitiba
126,11-04-2024,,m,Notebook,"R$ 120,00",3,2420,0h 57m,Rio de Janeiro
127,2024-06-01, Pedro Alves ,Feminino,Teclado,"R$ 800,00",2,240,0h 45m,Rio de Janeiro
128,20-08-2024,Carlos Lima,Masculino,Teclado,50,1,120,,Curitiba
129,2023/08/19, Pedro Alves ,MASCULINO,Mouse,800,3,3600,,Rio de Janeiro
130,19-10-2024,Maria Souza,Masculino,Monitor,R$50,1,120,,Porto Alegre
131,21-08-2023, Pedro Alves ,m,Notebook,1200,3,150,173m,Rio de Janeiro
132,04-04-2023,Carlos Lima,,Monitor,R$50,3,2440,,Rio de Janeiro
133,2023/07/16,Maria Souza,F,Monitor,R$3500,3,10466,2h 47m,Curitiba
134,23/07/24,,f,Teclado,800,2,240,119m,Belo Horizonte
135,01/06/23,Ana Clara,f,Cadeira,"R$ 120,00",1,1200,45m,Belo Horizonte
136,03-03-2023, João Silva ,Masculino,Monitor,"R$ 3.500,00",2,278,22m,São Paulo
137,2024-08-22,,Feminino,Notebook,R$120,2,240,1h 1m,São Paulo
138,25-09-2024,Carlos Lima,Feminino,Monitor,R$1200,3,2400,0h 49m,Rio de Janeiro
139,2023-12-17,Ana Clara,,Notebook,1200,1,800,107m,Curitiba
140,17-04-2024,Maria Souza,f,Cadeira,"R$ 800,00",1,120,,Curitiba
141,16-10-2023,,MASCULINO,Monitor,"R$ 1.200,00",1,,,Belo Horizonte
142,20/05/23,,Masculino,Cadeira,3500,2,240,107m,Porto Alegre
143,18-05-2024,,Feminino,Monitor,R$50,1,,1h 12m,Belo Horizonte
144,2024-12-10, João Silva ,f,Monitor,"R$ 120,00",2,2400,0h 0m,São Paulo
145,2024/02/23,Maria Souza,F,Cadeira,"R$ 120,00",1,120,107m,Belo Horizonte
146,21/07/24,Maria Souza,F,Cadeira,"R$ 1.200,00",3,10542,137m,Rio de Janeiro
147,26-12-2024,Maria Souza,F,Mouse,R$50,3,354,0:26:07,Porto Alegre
148,25-04-2023,Maria Souza,f,Mouse,"R$ 3.500,00",1,,,Rio de Janeiro
149,02-08-2024,Carlos Lima,Masculino,Cadeira,3500,1,14,3h 43m,Curitiba
150,2024-10-05,,,Notebook,3500,2,7000,137m,Belo Horizonte
151,15/05/23,Ana Clara,Feminino,Notebook,"R$ 3.500,00",2,,2h 43m,São Paulo
152,2023/07/07,Ana Clara,MASCULINO,Cadeira,800,2,240,110m,Belo Horizonte
153,2023/02/27,,Feminino,Mouse,R$3500,2,1600,2:21:26,São Paulo
154,2024/07/03,,Masculino,Cadeira,R$50,3,360,,Porto Alegre
155,2024/07/10,Maria Souza,,Monitor,120,2,281,1:32:01,São Paulo
156,27-03-2024,Ana Clara,Feminino,Teclado,"R$ 50,00",1,1152,0:31:14,São Paulo
157,2024/10/13,Carlos Lima,,Notebook,3500,3,3600,2:40:14,Rio de Janeiro
158,2024/06/19,Ana Clara,MASCULINO,Notebook,"R$ 1.200,00",1,74,139m,Porto Alegre
159,2024-05-09,Maria Souza,F,Notebook,120,3,150,0h 13m,São Paulo
160,2024/12/05,,MASCULINO,Monitor,1200,3,2400,32m,Curitiba
161,01/04/24,Ana Clara,Feminino,Cadeira,50,1,120,2h 8m,São Paulo
162,2023-08-06, Pedro Alves ,M,Teclado,"R$ 1.200,00",1,800,,Curitiba
163,2024/05/26,Ana Clara,,Mouse,R$50,2,2400,,São Paulo
164,26/09/24,Carlos Lima,Feminino,Mouse,3500,1,,1h 34m,Curitiba
165,2023/11/24, João Silva ,MASCULINO,Mouse,50,3,,,Rio de Janeiro
166,2024-11-10,,f,Mouse,120,3,150,2:32:40,Curitiba
167,2023-03-10, Pedro Alves ,Feminino,Monitor,120,1,120,1:46:51,São Paulo
168,2024-05-24,,M,Mouse,3500,3,10500,0h 49m,Belo Horizonte
169,04-03-2023,Ana Clara,F,Notebook,"R$ 120,00",2,100,2h 41m,São Paulo
170,2024-04-14, João Silva ,F,Cadeira,R$3500,3,360,0:26:05,Curitiba
171,2024/11/13,Maria Souza,Masculino,Mouse,50,1,800,94m,São Paulo
172,2023/03/16,,Feminino,Notebook,50,2,240,2:34:17,São Paulo
173,2024-03-06,Carlos Lima,MASCULINO,Mouse,50,1,800,1:53:35,São Paulo
174,20/04/23,Maria Souza,MASCULINO,Notebook,1200,2,,,Porto Alegre
175,02/02/23, João Silva ,f,Teclado,1200,1,3500,,Curitiba
176,27/03/23, João Silva ,f,Monitor,"R$ 120,00",3,10500,,Curitiba
177,14/04/24,Carlos Lima,Masculino,Monitor,R$120,1,795,,Porto Alegre
178,2024-05-28,Carlos Lima,F,Monitor,800,1,50,,Belo Horizonte
179,2023/07/14,Ana Clara,F,Notebook,1200,1,120,1:38:24,Curitiba
180,2024/09/22,Ana Clara,,Monitor,R$800,3,150,116m,Curitiba
181,2024/04/04, Pedro Alves ,Masculino,Mouse,1200,1,,0:43:32,São Paulo
182,23/08/24,,MASCULINO,Cadeira,"R$ 50,00",3,2400,,Rio de Janeiro
183,18/08/23, Pedro Alves ,m,Monitor,"R$ 3.500,00",2,1600,139m,Curitiba
184,2024-10-06,Ana Clara,f,Monitor,"R$ 1.200,00",1,,3h 45m,Porto Alegre
185,2023-06-19,,f,Notebook,R$120,3,186,1h 31m,Porto Alegre
186,2023-11-16, Pedro Alves ,MASCULINO,Teclado,R$800,1,3500,0:52:14,Rio de Janeiro
187,26-07-2023,Carlos Lima,F,Monitor,R$800,2,,71m,Curitiba
188,2024/09/22,Carlos Lima,Masculino,Notebook,R$1200,2,2426,3h 17m,Curitiba
189,19-06-2023, João Silva ,,Mouse,120,2,6955,2h 54m,Belo Horizonte
190,2023-06-13,Maria Souza,M,Cadeira,"R$ 3.500,00",2,7000,1h 1m,Porto Alegre
191,16-05-2024,Maria Souza,MASCULINO,Monitor,"R$ 120,00",2,100,,Porto Alegre
192,25/05/24,,MASCULINO,Notebook,50,1,120,0:38:02,Curitiba
193,12/12/23,Ana Clara,MASCULINO,Cadeira,50,1,120,2:11:30,Rio de Janeiro
194,2023/05/13,,m,Notebook,R$1200,3,171,65m,Belo Horizonte
195,07-06-2024,,MASCULINO,Mouse,"R$ 3.500,00",3,3600,161m,São Paulo
196,26/05/23, Pedro Alves ,m,Notebook,R$120,1,800,,São Paulo
197,19/04/24,,f,Notebook,"R$ 3.500,00",3,2400,61m,Belo Horizonte
198,14/11/23, Pedro Alves ,M,Notebook,"R$ 3.500,00",2,,2h 3m,Belo Horizonte
199,10/12/24,,Masculino,Mouse,"R$ 50,00",3,150,2:46:35,Rio de Janeiro
200,2023/02/26,Ana Clara,m,Monitor,R$3500,1,3500,,São Paulo
201,20-09-2024,Ana Clara,Feminino,Teclado,R$50,1,3500,1:42:32,Curitiba
202,03-03-2024, João Silva ,m,Notebook,"R$ 50,00",1,50,1:38:15,Rio de Janeiro
203,18/06/23,Maria Souza,M,Mouse,120,1,120,,Belo Horizonte
204,10-03-2024,Ana Clara,f,Cadeira,"R$ 1.200,00",3,3600,,Curitiba
205,03-02-2024,Carlos Lima,MASCULINO,Notebook,R$800,3,,104m,Curitiba
206,2024-04-05,Carlos Lima,Feminino,Cadeira,"R$ 800,00",1,50,0:39:02,Curitiba
207,2023-07-19, João Silva ,Masculino,Mouse,"R$ 50,00",3,,0:01:44,São Paulo
208,2023/11/27,Carlos Lima,Masculino,Mouse,R$120,1,800,121m,São Paulo
209,2023-01-03, João Silva ,Feminino,Teclado,120,2,240,3h 22m,Belo Horizonte
210,13-10-2023,,,Cadeira,3500,3,150,3h 48m,São Paulo
211,21-02-2023,Carlos Lima,F,Notebook,"R$ 800,00",3,150,2h 0m,Porto Alegre
212,14/09/23,,Feminino,Mouse,R$1200,3,3600,,São Paulo
213,09-08-2024,Carlos Lima,m,Cadeira,800,1,800,44m,Belo Horizonte
214,2023/11/09,,,Cadeira,120,2,100,,Curitiba
215,2023-09-03, João Silva ,m,Teclado,"R$ 50,00",3,,1h 1m,São Paulo
216,2024/12/02,Ana Clara,f,Monitor,R$3500,2,100,,Rio de Janeiro
217,11/05/24,Carlos Lima,M,Mouse,1200,3,,1h 34m,São Paulo
218,23/04/23,Maria Souza,,Mouse,"R$ 120,00",2,,2:25:14,Porto Alegre
219,01-12-2023,Maria Souza,F,Notebook,3500,1,120,0h 8m,Belo Horizonte
220,2024/06/01,Ana Clara,Masculino,Notebook,"R$ 50,00",3,2400,,Rio de Janeiro
221,2024/06/15,,M,Cadeira,"R$ 1.200,00",2,7000,0:52:52,Rio de Janeiro
222,24/09/24,Ana Clara,MASCULINO,Notebook,"R$ 800,00",3,3634,0:38:23,São Paulo
223,17/04/24, João Silva ,f,Cadeira,"R$ 1.200,00",1,800,3h 34m,São Paulo
224,2023/05/25,Carlos Lima,MASCULINO,Teclado,R$50,3,,1h 49m,São Paulo
225,2023-10-22,Ana Clara,f,Notebook,800,1,,10m,Porto Alegre
226,28/06/23,Ana Clara,,Monitor,"R$ 3.500,00",2,2400,1:52:06,Rio de Janeiro
227,12/09/23, João Silva ,Masculino,Mouse,"R$ 120,00",1,,,Curitiba
228,2024/12/06,,M,Teclado,3500,3,3578,2h 21m,Belo Horizonte
229,2023/03/27,Maria Souza,,Monitor,"R$ 3.500,00",1,84,,Porto Alegre
230,2023/11/22,Maria Souza,F,Teclado,"R$ 3.500,00",2,1600,2:46:40,São Paulo
231,2023/07/27, João Silva ,M,Teclado,R$1200,1,,2:50:16,São Paulo
232,25-04-2023, Pedro Alves ,Feminino,Notebook,R$1200,1,1200,1h 16m,Rio de Janeiro
233,2024-09-24,Ana Clara,Feminino,Cadeira,R$1200,1,3500,1h 3m,São Paulo
234,27-09-2024, João Silva ,M,Cadeira,3500,2,1575,3h 48m,Rio de Janeiro
235,24/05/23,Maria Souza,m,Notebook,"R$ 1.200,00",3,360,0:41:30,Rio de Janeiro
236,2024-06-09, Pedro Alves ,MASCULINO,Teclado,"R$ 3.500,00",3,10500,1:51:11,Porto Alegre
237,2023-07-01,,Masculino,Cadeira,800,2,2400,,São Paulo
238,2024-12-26,Carlos Lima,m,Notebook,"R$ 800,00",2,100,0:32:06,Rio de Janeiro
239,25-03-2023,,f,Mouse,50,3,3650,2h 2m,São Paulo
240,07-01-2023,Carlos Lima,m,Notebook,"R$ 800,00",2,1612,,Curitiba
241,2023-09-09,Ana Clara,f,Mouse,"R$ 1.200,00",3,2443,1:35:59,Porto Alegre
242,2023-01-10, João Silva ,F,Notebook,"R$ 800,00",2,100,1:07:37,São Paulo
243,24/06/24,Carlos Lima,f,Notebook,3500,2,240,78m,Curitiba
244,2024-09-03, João Silva ,Feminino,Monitor,800,1,,1:32:56,Curitiba
245,2023/07/23,Ana Clara,M,Mouse,"R$ 120,00",3,,1:35:30,Rio de Janeiro
246,2023-09-01,,m,Monitor,50,3,10500,87m,Belo Horizonte
247,2023/06/08,,Feminino,Monitor,120,1,3500,0h 41m,Rio de Janeiro
248,03/04/23, Pedro Alves ,m,Mouse,R$120,2,240,0:39:32,Porto Alegre
249,18/07/24,Ana Clara,,Notebook,"R$ 120,00",1,50,,Rio de Janeiro
250,2023/11/04, Pedro Alves ,MASCULINO,Teclado,"R$ 120,00",1,1193,0h 42m,São Paulo
251,2024/03/13,Carlos Lima,F,Mouse,"R$ 50,00",1,,1h 6m,Porto Alegre
252,04-10-2024, João Silva ,MASCULINO,Notebook,3500,3,,102m,Belo Horizonte
253,19/01/23,,,Mouse,"R$ 800,00",2,2400,,Belo Horizonte
254,2023/01/17, Pedro Alves ,Masculino,Cadeira,"R$ 1.200,00",3,360,,São Paulo
255,2024/01/03, Pedro Alves ,Feminino,Mouse,"R$ 120,00",2,,1h 3m,Curitiba
256,2024/04/11, Pedro Alves ,M,Teclado,"R$ 3.500,00",2,6991,3h 41m,Porto Alegre
257,2024/05/02, João Silva ,F,Mouse,R$1200,1,50,1:03:25,Rio de Janeiro
258,2023/04/08, João Silva ,,Cadeira,R$3500,3,10500,1:05:56,Rio de Janeiro
259,2023/03/11,Carlos Lima,f,Teclado,3500,2,2400,22m,Curitiba
260,11-04-2023,Carlos Lima,f,Notebook,"R$ 3.500,00",3,360,2:42:52,São Paulo
261,2024/12/13, João Silva ,F,Mouse,"R$ 3.500,00",3,360,163m,Belo Horizonte
262,2023/01/26, Pedro Alves ,,Mouse,R$120,1,800,,Porto Alegre
263,16/12/24, Pedro Alves ,f,Monitor,R$800,2,100,2:11:21,Rio de Janeiro
264,2023-10-07,Maria Souza,,Notebook,R$800,3,150,2h 55m,Belo Horizonte
265,2024/05/21, Pedro Alves ,f,Cadeira,R$1200,2,6972,156m,Porto Alegre
266,07-03-2024,,M,Mouse,120,2,100,1:44:38,Rio de Janeiro
267,2023-07-14,Maria Souza,,Notebook,800,3,10500,,São Paulo
268,2023/05/05, Pedro Alves ,f,Teclado,50,2,,81m,Belo Horizonte
269,01/09/23, João Silva ,f,Monitor,3500,1,,1:45:46,Curitiba
270,2024/05/12, João Silva ,M,Monitor,"R$ 800,00",3,360,2h 52m,Porto Alegre
271,2023-05-19,Ana Clara,F,Mouse,R$3500,1,783,103m,Belo Horizonte
272,20/03/23,Maria Souza,f,Notebook,R$50,1,3500,1:02:04,Curitiba
273,06-02-2023,Ana Clara,MASCULINO,Cadeira,3500,3,2400,3h 57m,Rio de Janeiro
274,12/02/23, João Silva ,f,Cadeira,3500,3,,,Curitiba
275,2024/11/05,Ana Clara,Feminino,Teclado,R$50,1,,1:46:04,São Paulo
276,2023-03-24, Pedro Alves ,MASCULINO,Teclado,R$50,3,150,2:26:45,Porto Alegre
277,20/10/24, Pedro Alves ,f,Cadeira,3500,1,1200,2:53:09,Belo Horizonte
278,17-07-2023, João Silva ,,Teclado,3500,2,2400,1h 2m,Belo Horizonte
279,17-05-2024,Maria Souza,,Teclado,R$1200,3,,0:56:30,São Paulo
280,2023/08/04,Ana Clara,Masculino,Mouse,"R$ 120,00",3,150,1h 11m,Belo Horizonte
281,04/12/24, Pedro Alves ,,Cadeira,R$3500,1,,1:24:43,Rio de Janeiro
282,07-11-2023, João Silva ,Feminino,Monitor,R$800,3,2400,40m,Porto Alegre
283,20/03/23,Maria Souza,Masculino,Teclado,R$3500,2,100,100m,Porto Alegre
284,2023-09-25,,,Teclado,"R$ 120,00",3,,0:25:10,Rio de Janeiro
285,2023/12/24,,Feminino,Monitor,"R$ 800,00",3,,173m,Porto Alegre
286,2023-01-13,Carlos Lima,m,Teclado,"R$ 800,00",1,1200,148m,São Paulo
287,14/04/23,Carlos Lima,Masculino,Mouse,"R$ 800,00",1,3500,58m,Belo Horizonte
288,22-08-2024,Ana Clara,M,Cadeira,3500,1,1200,2:46:56,Curitiba
289,2023/05/09, João Silva ,M,Mouse,120,2,2400,47m,Belo Horizonte
290,15-10-2024, João Silva ,Masculino,Monitor,R$800,3,150,,Curitiba
291,2024/05/13,Maria Souza,f,Mouse,120,3,10500,0:18:58,Rio de Janeiro
292,2024/01/04,Ana Clara,M,Monitor,3500,2,7039,,Porto Alegre
293,2023-05-26, João Silva ,,Cadeira,R$3500,2,2400,143m,Curitiba
294,26/08/23,Ana Clara,Feminino,Notebook,"R$ 120,00",3,360,,São Paulo
295,05/07/23,Carlos Lima,m,Teclado,R$120,2,240,0h 14m,Curitiba
296,2024/04/03, João Silva ,Feminino,Cadeira,R$1200,1,800,2:19:39,Curitiba
297,2024-04-18, João Silva ,M,Teclado,"R$ 1.200,00",1,50,0h 47m,Rio de Janeiro
298,27/02/23, João Silva ,Masculino,Notebook,R$800,3,150,,São Paulo
299,2024-03-15,Ana Clara,m,Monitor,"R$ 50,00",2,,2:34:59,Curitiba
300,15/12/24,Carlos Lima,Feminino,Teclado,R$800,1,3500,91m,Porto Alegre
301,13/01/23, João Silva ,,Monitor,800,1,800,1:55:42,Curitiba
302,2024/11/23,,F,Monitor,"R$ 3.500,00",2,,,Rio de Janeiro
303,12-11-2024,Carlos Lima,Masculino,Notebook,"R$ 3.500,00",2,1600,68m,Curitiba
304,01-04-2023,,F,Monitor,800,1,3500,147m,Rio de Janeiro
305,2023/03/22, João Silva ,M,Cadeira,R$3500,3,3600,,Curitiba
306,2024/09/17,Maria Souza,Masculino,Notebook,"R$ 1.200,00",1,50,3h 39m,São Paulo
307,25-11-2023,Maria Souza,Feminino,Teclado,120,3,,,Porto Alegre
308,2024/07/21, Pedro Alves ,,Mouse,R$800,3,,,Rio de Janeiro
